rank,profit_factor,total_return,sharpe_ratio,win_rate,max_drawdown,trade_count,stop_loss_atr_mult,take_profit_atr_mult,min_confidence,max_position_pct
59,0.4875,-0.0399,-2.4143,0.6727,0.0618,55,1.25,2.0,0.58,0.015
60,0.4875,-0.0399,-2.4143,0.6727,0.0618,55,1.25,3.0,0.58,0.015
61,0.4813,-0.0284,-2.5458,0.6727,0.0437,55,1.25,2.0,0.58,0.01
62,0.4813,-0.0284,-2.5458,0.6727,0.0437,55,1.25,3.0,0.58,0.01
63,0.4804,-0.0419,-2.9075,0.6216,0.0549,37,0.5,2.0,0.6,0.01
64,0.4804,-0.0419,-2.9075,0.6216,0.0549,37,0.5,3.0,0.6,0.01
65,0.4726,-0.0645,-3.0621,0.6296,0.0824,54,0.75,2.0,0.58,0.015
66,0.4726,-0.0645,-3.0621,0.6296,0.0824,54,0.75,3.0,0.58,0.015
67,0.4636,-0.0237,-3.0691,0.6154,0.0308,39,0.5,2.0,0.6,0.005
68,0.4636,-0.0237,-3.0691,0.6154,0.0308,39,0.5,3.0,0.6,0.005
69,0.4608,-0.0161,-2.7867,0.6727,0.0241,55,1.25,2.0,0.58,0.005
70,0.4608,-0.0161,-2.7867,0.6727,0.0241,55,1.25,3.0,0.58,0.005
71,0.2954,-0.1022,-5.1184,0.5238,0.1098,42,0.5,2.0,0.58,0.015
72,0.2954,-0.1022,-5.1184,0.5238,0.1098,42,0.5,3.0,0.58,0.015
